"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"975327494772527105","","","2018-03-18 11:06:10 +0000","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Uncontrollable laughter,
Weekends with these two,
#ChoPatti #MasterCheater #GameFokk… https://t.co/FmXAssfZqI","","","","https://www.instagram.com/p/Bgdlcmmls-C/"
"972903184061554688","","","2018-03-11 18:32:49 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","What a moment. 
What an evening. 
Music. Company. Organic. Impromptu. Blessed. 
#Berkley #ARRahman #WeekendDiaries","","","",""
"972796935219298304","","","2018-03-11 11:30:37 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @mashable: Someone reinvented the paper plane https://t.co/xVdItPFNHj","972765824426459136","972651","2018-03-11 09:27:00 +0000","https://twitter.com/mashable/status/972765824426459136/video/1,https://twitter.com/mashable/status/972765824426459136/video/1"
"972794339213508609","","","2018-03-11 11:20:18 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @mashable: The future of farming could involve driverless tractors and robotic arms https://t.co/G7RmZGYJkG","972790991404007424","972651","2018-03-11 11:07:00 +0000","https://twitter.com/mashable/status/972790991404007424/video/1,https://twitter.com/mashable/status/972790991404007424/video/1"
"972735833357762561","","","2018-03-11 07:27:49 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @RickyH174: The size of a fruit is no challenge for my daughter, she’s gonna eat it anyways 😂 https://t.co/cPT0q9Q8YB","972186200843980800","306977083","2018-03-09 19:03:47 +0000","https://twitter.com/RickyH174/status/972186200843980800/video/1,https://twitter.com/RickyH174/status/972186200843980800/video/1"
"972556708865363968","","","2018-03-10 19:36:03 +0000","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Chill scenes be like. 
#OfficeOffice https://t.co/lQET6cZWoc","","","","https://www.instagram.com/p/BgJ5cQgFvYN/"
"971637499155173376","","","2018-03-08 06:43:26 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Stumbles into time machine, 
Magic, never fades. 
#goosebumps #breathless #clt #throwback","","","",""
"971491075817857024","","","2018-03-07 21:01:36 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @juokaz: If having a coffee in the morning doesn’t wake you up, try deleting a table in a production database instead.","931304593132224512","33927626","2017-11-16 23:34:52 +0000",""
"971484968084885504","","","2018-03-07 20:37:20 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @DothTheDoth: Coffee is great because if you drink too much you realize that there are tiny spiders under your skull weaving your hair.","971438849019834369","571963220","2018-03-07 17:34:04 +0000",""
"971238269538185216","","","2018-03-07 04:17:02 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @JonyIveParody: “I want to make an iPhone X app.”

“It’s pronounced ‘Ten’.”

“Ah, right. Do I use TenCode to make an app, then?”

“It’s…","910578248391827457","1197619002","2017-09-20 18:55:46 +0000","https://twitter.com/JonyIveParody/status/910578248391827457/photo/1"
